GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercice8,com.example,BookingService,0,106,1,9,0,22,1,9,0,5
exercice8,com.example,Booking,0,18,0,0,0,1,0,1,0,1
exercice8,com.example,Room,0,12,0,0,0,1,0,1,0,1
exercice8,com.example,BookingReceipt,0,12,0,0,0,1,0,1,0,1
