GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
exercice9,org.example,Frame,9,170,2,36,2,36,3,26,1,9
exercice9,org.example,Roll,5,14,2,2,1,5,2,2,0,2
